1;the;1 086 322 084;1
2;and;570 238 088;0.524925431
3;to;567 125 659;0.522060324
4;of;520 616 100;0.47924654
6;in;347 194 633;0.319605611
7;is;248 380 169;0.228643211
8;that;224 519 835;0.206678883
9;for;208 388 402;0.191829297
11;you;182 453 085;0.167954871
12;it;178 836 372;0.164625551
13;with;156 119 520;0.143713842
14;on;144 467 343;0.132987578
15;as;131 550 003;0.121096685
16;are;127 182 849;0.117076557
17;be;121 334 041;0.111692511
18;this;118 313 376;0.108911876
19;was;101 276 933;0.093229195
20;have;98 995 039;0.091128626
21;or;91 357 988;0.084098436
22;at;88 985 877;0.081914819
23;not;87 283 369;0.080347597
24;your;86 771 653;0.079876543
25;from;84 815 518;0.078075848
26;we;81 286 792;0.074827524
27;by;80 592 007;0.074187949
28;will;75 287 940;0.069305357
29;can;73 380 242;0.06754925
30;but;73 083 776;0.067276342
31;they;72 519 671;0.066757062
32;an;70 739 017;0.065117904
33;he;67 251 894;0.061907877
34;all;61 495 030;0.056608469
35;has;56 078 674;0.051622511
36;if;55 913 287;0.051470266
37;their;55 489 229;0.051079905
38;one;53 923 171;0.04963829
39;do;53 876 351;0.049595191
40;more;52 863 332;0.048662669
41;n't;52 097 921;0.04795808
42;my;52 066 603;0.04792925
43;his;50 951 208;0.046902488
44;so;49 213 525;0.045302886
45;there;47 444 673;0.043674591
46;about;46 693 627;0.042983225
47;which;45 739 634;0.042105039
48;when;44 528 548;0.040990189
49;what;43 721 332;0.040247117
50;out;41 303 918;0.038021797
